OBJECTID,GEO_ID_TRT,TRACT_LBL,E02001001,M02001001,E02001002,M02001002,E02001003,M02001003,E02001004,M02001004,E02001005,M02001005,E02001006,M02001006,E02001007,M02001007,E02001008,M02001008,E02001009,M02001009,E02001010,M02001010
177,53033022802,Tract 022802,5340,265,3402,328,89,54,0,17,1615,235,3,7,45,43,186,78,8,11,178,78
178,53033022803,Tract 022803,6083,511,2314,546,46,46,11,21,3077,459,155,175,203,192,277,154,0,17,277,154
179,53033022901,Tract 022901,2992,252,1901,293,46,51,0,12,875,134,0,12,11,19,159,90,0,12,159,90
180,53033022902,Tract 022902,6573,435,4060,355,156,162,0,17,2201,417,0,17,32,40,124,95,16,26,108,94
181,53033023000,Tract 023000,5718,338,3918,320,164,105,16,26,1217,183,1,3,69,51,333,119,14,25,319,117
182,53033023100,Tract 023100,4143,247,2573,275,40,58,0,12,1103,215,0,12,52,81,375,187,30,33,345,185
183,53033023201,Tract 023201,6639,548,2311,582,42,45,7,11,4151,726,0,17,12,21,116,120,64,104,52,50
184,53033023202,Tract 023202,4724,327,2740,414,446,258,7,11,1235,188,0,12,143,158,153,112,0,12,153,112
185,53033023300,Tract 023300,6721,498,5178,602,38,44,21,33,1029,391,0,17,229,234,226,172,43,46,183,165
186,53033023401,Tract 023401,3980,312,2210,239,62,47,88,137,1341,191,25,32,17,17,237,108,0,12,237,108
187,53033023403,Tract 023403,4257,282,2926,247,46,57,0,12,1011,249,0,12,23,24,251,124,19,29,232,120
188,53033023404,Tract 023404,3438,233,2938,222,8,12,0,12,370,93,0,12,21,22,101,63,23,34,78,56
189,53033023500,Tract 023500,3788,239,2065,209,136,72,11,17,1260,193,0,12,36,45,280,103,10,15,270,100
190,53033023601,Tract 023601,4252,308,2151,293,210,154,13,19,1590,286,0,12,28,44,260,184,8,18,252,188
191,53033023603,Tract 023603,6649,657,2908,504,97,84,0,17,3130,639,0,17,214,282,300,283,119,169,181,237
192,53033023604,Tract 023604,6616,485,3081,434,500,291,0,17,1847,359,240,195,614,488,334,220,65,81,269,216
193,53033023700,Tract 023700,4425,273,2747,231,56,50,0,12,1327,238,0,12,54,51,241,135,61,64,180,118
194,53033023801,Tract 023801,3074,241,1715,255,95,115,0,12,996,241,95,148,16,21,157,75,9,13,148,74
195,53033023803,Tract 023803,5339,515,2511,329,89,74,0,17,2464,513,0,17,54,67,221,115,0,17,221,115
196,53033023804,Tract 023804,7397,579,4122,486,349,213,16,26,2619,583,0,17,2,4,289,170,44,51,245,165
197,53033023900,Tract 023900,7067,534,5296,506,75,59,14,35,1392,176,0,17,52,51,238,120,0,17,238,120
198,53033024000,Tract 024000,7674,401,4505,431,14,32,0,17,2649,343,0,17,187,179,319,138,31,38,288,137
199,53033024100,Tract 024100,4895,129,3664,145,31,29,8,10,946,100,6,11,5,5,235,71,2,3,233,71
200,53033024200,Tract 024200,3253,29,2294,160,34,29,0,12,725,163,0,12,15,22,185,93,0,12,185,93
201,53033024300,Tract 024300,8736,404,6178,423,154,129,0,17,1935,343,19,30,111,96,339,170,0,17,339,170
202,53033024400,Tract 024400,3117,254,2161,202,34,43,0,12,752,169,0,12,101,123,69,59,9,14,60,57
